company_id,legal_name,ticker,founded_year,hq_city,hq_state,technology_primary,technology_secondary,value_chain_stage,commercialization_stage,application_primary,production_capacity_gwh,facility_count_us,employees_approx,public_private,last_funding_date,total_capital_raised_m,major_investors,source_url,data_quality_score
COMP-021,Enevate Corporation,N/A,2005,Irvine,CA,Li-ion,Silicon-dominant anode; 5-min charging,Cell Manufacturing,Stage 2,EV batteries; Power tools,Not Disclosed,1,150,Private,2024-01-01,350.0,Renault-Nissan-Mitsubishi; LG Chem,https://www.enevate.com,0.89
COMP-022,Lilac Solutions Inc,N/A,2016,Oakland,CA,N/A,Direct lithium extraction; Ion exchange,Mining; Refining,Stage 3,Lithium extraction,0.005,1,120,Private,2025-10-01,150.0,BMW i Ventures; Breakthrough Energy Ventures,https://lilacsolutions.com,0.87
COMP-023,EnergyX Inc,N/A,2018,Austin,TX,Lithium-Metal,DLE technology; LiTAS; SoLiS solid-state,Mining; Refining; Cell Manufacturing,Stage 2,Lithium extraction; Batteries,0.025,1,100,Private,2023-04-01,130.0,General Motors; Eni; POSCO,https://energyx.com,0.88
COMP-024,6K Energy Inc,N/A,2013,North Andover,MA,Li-ion,UniMelt plasma cathode; NMC; LFP,Component Manufacturing,Stage 3,Cathode materials,0.013,2,180,Private,2024-01-01,150.0,DOE; Koch Strategic Platforms; HG Ventures,https://www.6kinc.com,0.90
COMP-025,Powin Energy Corporation,N/A,2011,Tualatin,OR,Li-ion,Battery integration; Stack systems,System Integration,Stage 4,Grid-scale storage,Not Disclosed,1,300,Private,2023-01-01,500.0,Greenbelt Capital Partners,https://powin.com,0.86
COMP-026,Tesla Inc / Panasonic,N/A,2010,Sparks,NV,Li-ion,2170 cells; 4680 cells (planned),Cell Manufacturing,Stage 4,EV batteries; Grid storage,41.0,1,7000,JV (Public),2023-03-01,4000.0,Tesla; Panasonic; State of Nevada,https://www.tesla.com/gigafactory,0.95
COMP-027,LG Energy Solution,N/A,2020,Holland,MI,Li-ion; LFP,NMC; LFP,Cell Manufacturing,Stage 4,EV batteries; Grid storage,21.5,4,2500,Private (Foreign),2024-06-01,5500.0,LG Chem; Various JVs,https://lgenergymi.com,0.93
COMP-028,SK On,N/A,2019,Commerce,GA,Li-ion,NMC,Cell Manufacturing,Stage 4,EV batteries,150.0,5,8000,Private (Foreign),2024-01-01,11400.0,SK Innovation; Ford; Hyundai,https://eng.sk.com/companies/sk-on,0.94
COMP-029,Panasonic Energy,N/A,2023,De Soto,KS,Li-ion,2170 cells,Cell Manufacturing,Stage 4,EV batteries,73.0,2,5500,Private (Foreign),2025-07-01,4000.0,Panasonic; State of Kansas,https://na.panasonic.com/panasonic-energy,0.95
COMP-030,Samsung SDI / StarPlus Energy,N/A,2022,Kokomo,IN,Li-ion,PRiMX technology,Cell Manufacturing,Stage 3,EV batteries,67.0,2,2800,JV (Foreign),2024-12-01,7540.0,Samsung SDI; Stellantis; DOE,https://news.samsungsdi.com,0.93
COMP-031,Gotion High-Tech,N/A,2006,Manteno,IL,Li-ion; LFP,LFP,Cell Manufacturing; Pack Assembly,Stage 3,EV batteries,50.0,2,2600,Private (Foreign),2023-09-01,4300.0,Gotion Inc; State of Illinois,https://www.gotion.com,0.89
COMP-032,A123 Systems LLC,N/A,2001,Livonia,MI,Li-ion,Lithium iron phosphate; Nanophosphate,Cell Manufacturing,Stage 4,Automotive; Grid storage,30.0,2,900,Private (Foreign),2013-01-01,256.6,Wanxiang Group; DOE,https://www.a123systems.com,0.91
COMP-033,Cirba Solutions,N/A,2020,Lancaster,OH,Li-ion,Battery recycling; Black mass processing,Recycling,Stage 4,Battery recycling,0.2,3,450,Private,2022-10-01,75.0,DOE; Private Equity,https://www.cirbasolutions.com,0.88
COMP-034,Piedmont Lithium Inc,PLL,2016,Belmont,NC,N/A,Lithium hydroxide from spodumene,Mining; Refining,Stage 1,Lithium mining,Not Disclosed,2,120,Public,2024-04-01,800.0,Tesla; Public Markets,https://www.piedmontlithium.com,0.84
COMP-035,Ioneer Ltd,INR,2001,Sydney,AU,N/A,Lithium-boron mining,Mining,Stage 2,Lithium mining,0.022,1,80,Public (Foreign),2024-10-01,996.0,DOE Loan Programs Office,https://www.ioneer.com,0.87
COMP-036,Primus Power Corporation,N/A,2010,Hayward,CA,Flow-Zinc,Zinc-flow battery,Cell Manufacturing,Stage 2,Grid-scale storage,Not Disclosed,1,75,Private,2023-01-01,80.0,Chrysalix Energy Venture Capital,https://primuspower.com,0.83
COMP-037,Ionic Materials Inc,N/A,2011,Woburn,MA,Solid-State,Polymer electrolyte,Component Manufacturing,Defunct,EV batteries,Not Disclosed,1,0,Private (Defunct),2024-06-01,111.0,Samsung; Dyson; ARPA-E,https://ionicmaterials.com,0.85
COMP-038,OneD Battery Sciences,N/A,2013,Palo Alto,CA,Li-ion,Silicon-graphite anode; SINANODE,Component Manufacturing,Defunct,Anode materials,0.0001,1,0,Private (Defunct),2025-05-01,150.0,General Motors Ventures; Koch Modular,https://onedsinanode.com,0.84
COMP-039,Romeo Power Technology,N/A,2016,Cypress,CA,Li-ion,Battery packs,Pack Assembly,Acquired,Commercial vehicles,Not Disclosed,1,200,Private (Acquired),2022-08-01,148.0,Nikola Corporation (acquirer),https://investors.romeopower.com,0.82
COMP-040,Cuberg Inc,N/A,2015,San Jose,CA,Lithium-Metal,Liquid electrolyte lithium-metal,Cell Manufacturing,Acquired,Aviation; EV,Not Disclosed,1,50,Private (Acquired),2024-11-01,Not Disclosed,Northvolt (acquirer); Boeing HorizonX,https://cuberg.net,0.81
COMP-041,FREYR Battery,FREY,2018,Luxembourg,LU,Li-ion,24M SemiSolid technology,Cell Manufacturing,Stage 1,EV batteries; Grid storage,Not Disclosed,0,150,Public (Foreign),2025-02-01,500.0,Koch Strategic Platforms; Public Markets,https://www.freyrbattery.com,0.79
COMP-042,ICL Group,ICL,1968,Tel Aviv,IL,N/A,Phosphate salts; Bromine for flow batteries,Component Manufacturing,Stage 3,Electrolyte materials,Not Disclosed,1,150,Public (Foreign),2024-04-01,400.0,Public Markets,https://www.icl-group.com,0.83
COMP-043,Albemarle Corporation,ALB,1994,Charlotte,NC,N/A,Lithium mining and refining,Mining; Refining,Stage 4,Lithium production,Not Disclosed,2,6000,Public,2024-01-01,Not Disclosed,Public Markets,https://www.albemarle.com,0.92
COMP-044,Bettergy Corp,N/A,2008,Not Disclosed,Not Disclosed,Flow,Air diffusion electrodes,Component Manufacturing,Stage 2,Metal-air batteries; Fuel cells,Not Disclosed,Not Disclosed,30,Private,2020-01-01,10.0,Not Disclosed,https://bettergy.com,0.65
COMP-045,BASF TODA Battery Materials,N/A,2018,Elyria,OH,N/A,NMC cathode materials,Component Manufacturing,Stage 3,Cathode materials,Not Disclosed,1,200,JV (Foreign),2023-01-01,Not Disclosed,BASF; Toda Kogyo,https://battery-materials.basf.com,0.85
